Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
49,2.0,0.0,0.0,273.0,9.0,35.0,1415.0,0.1,414.39032527457147,0.0,0.0,320.0616204738617,,,,,,,,,,,,,,,,,,,,,219.6020641303862,134.75948900750754,407.51888327768,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,331.0,10.0,58.0,1473.0,0.1,759.7650799728788,0.0,0.0,325.6104197502136,,,,,,,,,,,,,,,,,,,,,390.536808598864,236.1500111919725,738.5903872582738,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,355.0,11.0,24.0,1497.0,0.1,236.10664575732451,0.0,0.0,328.0636188983917,,,,,,,,,,,,,,,,,,,,,104.9671340598524,82.00396591738819,234.05531110679058,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,389.0,12.0,34.0,1531.0,0.1,344.9903780413976,0.0,0.0,331.43221950531006,,,,,,,,,,,,,,,,,,,,,157.74826264867008,120.50268663801225,340.30721122658485,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,424.0,13.0,35.0,1566.0,0.1,339.91122505683416,0.0,0.0,335.0195002555847,,,,,,,,,,,,,,,,,,,,,161.78007394250378,110.5430485104624,334.9184243992206,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,445.0,14.0,21.0,1587.0,0.1,169.1851824192222,0.0,0.0,337.38231658935547,,,,,,,,,,,,,,,,,,,,,80.12390751346548,58.04782075640135,167.83808870075228,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,461.0,15.0,16.0,1603.0,0.1,87.69685691698685,0.0,0.0,339.10623145103455,,,,,,,,,,,,,,,,,,,,,37.34372201867795,30.310363408317368,87.2738177263229,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,485.0,16.0,24.0,1627.0,0.1,223.149021779699,0.0,0.0,341.4720983505249,,,,,,,,,,,,,,,,,,,,,109.39249872505927,74.1805802616469,220.965311467922,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,510.0,17.0,25.0,1652.0,0.1,229.29834582219084,0.0,0.0,343.94188237190247,,,,,,,,,,,,,,,,,,,,,101.96467296096172,78.67094560023035,227.20340861198224,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,533.0,18.0,23.0,1675.0,0.1,215.64004517483733,0.0,0.0,346.3832700252533,,,,,,,,,,,,,,,,,,,,,99.33238776516644,72.21456673534729,213.78275197744145,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
